TIC m_TIC RAJ2000 DEJ2000 Tmag BJD0 Per Morph Sectors Transit_Times tpeak
349480507 1 110.9367719347 -65.0109401699 9.396 1355.493939 1.5620192 0.552 7.0 1499.1997053999999 1499.1997053999999
349480507 1 110.9367719347 -65.0109401699 9.396 1355.493939 1.5620192 0.552 7.0 1500.7617246 1500.7617246
349480507 1 110.9367719347 -65.0109401699 9.396 1355.493939 1.5620192 0.552 7.0 1502.3237437999999 1502.3237437999999
349480507 1 110.9367719347 -65.0109401699 9.396 1355.493939 1.5620192 0.552 7.0 1503.885763 1503.885763
349480507 1 110.9367719347 -65.0109401699 9.396 1355.493939 1.5620192 0.552 7.0 1505.4477822 1505.4477822
349480507 1 110.9367719347 -65.0109401699 9.396 1355.493939 1.5620192 0.552 7.0 1507.0098014 1507.0098014
349480507 1 110.9367719347 -65.0109401699 9.396 1355.493939 1.5620192 0.552 7.0 1508.5718206 1508.5718206
349480507 1 110.9367719347 -65.0109401699 9.396 1355.493939 1.5620192 0.552 7.0 1510.1338398 1510.1338398
349480507 1 110.9367719347 -65.0109401699 9.396 1355.493939 1.5620192 0.552 7.0 1511.695859 1511.695859
349480507 1 110.9367719347 -65.0109401699 9.396 1355.493939 1.5620192 0.552 7.0 1513.2578782 1513.2578782
349480507 1 110.9367719347 -65.0109401699 9.396 1355.493939 1.5620192 0.552 7.0 1514.8198974 1514.8198974
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1492.0704091999999 1492.0704091999999
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1492.5660271 1492.5660271
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1493.0616449999998 1493.0616449999998
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1493.5572628999998 1493.5572628999998
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1494.0528808 1494.0528808
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1494.5484987 1494.5484987
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1495.0441165999998 1495.0441165999998
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1495.5397345 1495.5397345
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1496.0353524 1496.0353524
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1496.5309702999998 1496.5309702999998
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1497.0265881999999 1497.0265881999999
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1497.5222061 1497.5222061
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1498.0178239999998 1498.0178239999998
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1498.5134418999999 1498.5134418999999
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1499.0090598 1499.0090598
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1499.5046776999998 1499.5046776999998
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1500.0002955999998 1500.0002955999998
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1500.4959135 1500.4959135
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1500.9915314 1500.9915314
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1501.4871492999998 1501.4871492999998
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1501.9827672 1501.9827672
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1502.4783851 1502.4783851
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1502.9740029999998 1502.9740029999998
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1503.4696208999999 1503.4696208999999
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1503.9652388 1503.9652388
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1504.4608566999998 1504.4608566999998
