loss_s0131 accuracy_s0131 val_auc_s0131 precision_s0131 recall_s0131 f1_score_s0131 val_loss_s0131 val_accuracy_s0131 val_val_auc_s0131 val_precision_s0131 val_recall_s0131 val_f1_score_s0131
0.009150965139269829 0.998641848564148 0.9998316764831543 0.998999297618866 0.9982749819755554 0.9986370205879211 0.011612966656684875 0.9987041354179382 0.9995768070220947 0.9989994168281555 0.9983999729156494 0.9986996650695801
0.009453822858631611 0.9983677268028259 0.9998779296875 0.9987989664077759 0.9979249835014343 0.9983618259429932 0.012296568602323532 0.9984050989151001 0.9993656873703003 0.9980015754699707 0.9987999796867371 0.9984005689620972
0.00859078485518694 0.9986916780471802 0.9998852610588074 0.9989743828773499 0.9983999729156494 0.9986871480941772 0.01184532418847084 0.9987041354179382 0.9994806051254272 0.998799741268158 0.9986000061035156 0.9986998438835144
0.009265725500881672 0.998442530632019 0.9998530745506287 0.9987491965293884 0.9981250166893005 0.9984369874000549 0.01199350692331791 0.9983054399490356 0.9993859529495239 0.998001217842102 0.9986000061035156 0.9983005523681641
0.008960784412920475 0.9985546469688416 0.9998557567596436 0.998924195766449 0.9981750249862671 0.9985495209693909 0.012259605340659618 0.9983054399490356 0.99947589635849 0.9982003569602966 0.9983999729156494 0.9983001351356506
0.009388647973537445 0.998430073261261 0.9998411536216736 0.9987242221832275 0.9981250166893005 0.9984244704246521 0.012137490324676037 0.9983054399490356 0.9994824528694153 0.9989985823631287 0.9976000189781189 0.9982987642288208
0.00915263406932354 0.998380184173584 0.9998800754547119 0.998724102973938 0.9980250000953674 0.9983744025230408 0.012472433969378471 0.9985047578811646 0.9994678497314453 0.9987992644309998 0.998199999332428 0.9984995126724243
0.008618646301329136 0.9985172748565674 0.9999086260795593 0.9988492131233215 0.9981750249862671 0.9985119700431824 0.012277048081159592 0.9983054399490356 0.9994763731956482 0.9982003569602966 0.9983999729156494 0.9983001351356506
0.009187399409711361 0.9982680678367615 0.99991774559021 0.998399555683136 0.9981250166893005 0.9982622265815735 0.013784567825496197 0.9980064034461975 0.9994762539863586 0.9985983371734619 0.9973999857902527 0.9979987740516663
0.009294911287724972 0.9984050989151001 0.9998770952224731 0.9988240003585815 0.9979749917984009 0.9983993172645569 0.011591710150241852 0.9984050989151001 0.9994813799858093 0.9982007145881653 0.9986000061035156 0.9984003305435181
